username,text,tweet_clean,tweet_english
javel1ne,"RT @ramuneinabottle: Kalau sesuatu yang tidak kena PPN 12% dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri…",": Kalau sesuatu yang tidak kena PPN % dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri",": If something that is not subject to VAT % is said to be good news with one of the state agencies, it means the country itself"
alfanpesek,"Demi menciptakan ppn berkeadilan, PPN 12% diperuntukkan bagi org2 yg super kaya. bisa menjadi batu loncatan membangun infrastruktur pendidikan &amp; kesehatan yg memadai. #PPNGotongRoyong https://t.co/xIhgjqNUux","Demi menciptakan ppn berkeadilan, PPN % diperuntukkan bagi org2 yg super kaya. bisa menjadi batu loncatan membangun infrastruktur pendidikan &amp; kesehatan yg memadai.","For the sake of creating a fair VAT, PPN % is intended for super rich people.can be a stepping stone to build an educational infrastructure & amp;adequate health."
fblaksamana,"RT @ronaldy596: Demo Tolak Kenaikan PPN 12%,
Meski dipukul mundur sekalipun,
Adek² Mahasiswa ini Akan tetap bertahan !
Kata Mahasiswa,
Peme…",": Demo Tolak Kenaikan PPN %,Meski dipukul mundur sekalipun,Adek Mahasiswa ini Akan tetap bertahan !Kata Mahasiswa,Peme",": Demo Refuses to increase VAT %, even though it is beaten back, this student's brother will stay!"
rifarahmaliaa,"RT @virdianaurellio: “Demokrasi aman kok buktinya kalian boleh aksi”

Iya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa…",: Demokrasi aman kok buktinya kalian boleh aksiIya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa,": Democracy is safe, how proof you can do it, but it is intimidated using a cars of the Directorate of Detention and parked"
itaaxy2,"RT @V3g3L: Mahasiswa Terluka Saat Polisi Bubarkan Demo Tolak PPN 12 Persen, Mengaku Kena Pentungan. apakah penanganan demo harus selalu ana…",": Mahasiswa Terluka Saat Polisi Bubarkan Demo Tolak PPN Persen, Mengaku Kena Pentungan. apakah penanganan demo harus selalu ana",": Students were injured when the police dissolved the demonstration to reject the VAT percent, claiming to be hit by a batonian.whether the demonstration handling must always be ana"
arieanand001,"RT @PelatihT1dur: Polisi Tembakkan Water Cannon untuk Bubarkan Demo Mahasiswa Tolak PPN 12 Persen di Patung Kuda

#TolakPPN12Persen 

 http…",: Polisi Tembakkan Water Cannon untuk Bubarkan Demo Mahasiswa Tolak PPN Persen di Patung Kuda http,: Police Start Water Cannon to Disband Student Demo Reject VAT Percent at the Horse Horse Statue
virdhiard,"RT @patragumala: Info A1 katanya pajak tuh naik gara2 Pak @aniesbaswedan 

Lengkapnya hari selasa 31 Desember tayang di youtubenya Podcast…",: Info A1 katanya pajak tuh naik gara2 Pak Lengkapnya hari selasa Desember tayang di youtubenya Podcast,: Info A1 he said the tax was up because of the complete pack on Tuesday December on Youtubenya Podcast
andi_achilles,RT @widunuk: @TOPsstt @newIding30 @RPrima789 @RosaNegra008 @LauraMi25356713 @B_Ali11 @X_Rpri @adriana_opik @Qs3482 @Q20GG_ @r95731 @anaeste…,:,:
univindss,"RT @kompascom: Mahasiswa Terluka Saat Polisi Bubarkan Demo Tolak PPN 12 Persen, Mengaku Kena Pentungan | #Demo #Mahasiswa #Polisi #PPN12Per…",": Mahasiswa Terluka Saat Polisi Bubarkan Demo Tolak PPN Persen, Mengaku Kena Pentungan |",": Students were injured when the police dissolved the demonstration to reject VAT percent, claiming"
ssfrieren,"Gak siap 2025 soalnya semua kena ppn 12%. Nanti aku gak bisa mam ramen, sushi, udon lagi dong? 💔.","Gak siap soalnya semua kena ppn %. Nanti aku gak bisa mam ramen, sushi, udon lagi dong? .","Not ready because all hit VAT %.Later I can't mam ramen, sushi, udon again?."
arip_maulana_,"RT @koganenohikari: ini juga misleading, beras yg ga kena kenaikan PPn 12% itu cuma BERAS BULOG.

berani makan beras Bulog full sebulan? or…",": ini juga misleading, beras yg ga kena kenaikan PPn % itu cuma BERAS BULOG.berani makan beras Bulog full sebulan? or",": This is also a misleading, rice that is not hit by the increase in PPN % is only Bulog rice. Are you eating full Bulog rice a month?or"
aftajunya88,"RT @NenkMonica: GAK TAYANG DI TV 
BEM SI Kerakyatan menggelar aksi unjuk rasa di Patung Kuda, Jakarta Pusat. Massa aksi menolak kenaikan PP…",": GAK TAYANG DI TV BEM SI Kerakyatan menggelar aksi unjuk rasa di Patung Kuda, Jakarta Pusat. Massa aksi menolak kenaikan PP",": Not aired on TV BEM Si Si Pemumyatan held a demonstration at the Horse Statue, Central Jakarta.The mass of action rejected the increase in PP"
tali_buras,"RT @ronaldy596: Anaknya dikasih makan Siang gratis,
Tapi bisa² Malamnya tidak bisa Makan,
Akibat Duit Orang tuanya terkuras kena Pajak kena…",": Anaknya dikasih makan Siang gratis,Tapi bisa Malamnya tidak bisa Makan,Akibat Duit Orang tuanya terkuras kena Pajak kena",": His son was given a free lunch, but it could not eat at night, due to the money of his parents drained taxable"
lifeisokacauw,"RT @koganenohikari: ini juga misleading, beras yg ga kena kenaikan PPn 12% itu cuma BERAS BULOG.

berani makan beras Bulog full sebulan? or…",": ini juga misleading, beras yg ga kena kenaikan PPn % itu cuma BERAS BULOG.berani makan beras Bulog full sebulan? or",": This is also a misleading, rice that is not hit by the increase in PPN % is only Bulog rice. Are you eating full Bulog rice a month?or"
faturrizqyam,"RT @ronaldy596: Demo Tolak Kenaikan PPN 12%,
Meski dipukul mundur sekalipun,
Adek² Mahasiswa ini Akan tetap bertahan !
Kata Mahasiswa,
Peme…",": Demo Tolak Kenaikan PPN %,Meski dipukul mundur sekalipun,Adek Mahasiswa ini Akan tetap bertahan !Kata Mahasiswa,Peme",": Demo Refuses to increase VAT %, even though it is beaten back, this student's brother will stay!"
abah_iman_,RT @OposisiCerdas: 'Utangmu Urusanmu!' Poster Demo BEM SI Sindir Sri Mulyani Soal PPN 12 Persen https://t.co/2xao7wpUi8,: 'Utangmu Urusanmu!' Poster Demo BEM SI Sindir Sri Mulyani Soal PPN Persen,: 'Your debt is your business!'Poster Demo Bem Si Sindir Sri Mulyani about VAT Percent
aaaisssiaaa,"RT @DitjenPajakRI: #KawanPajak, tahukah bahwa dengan pengukuhan Pengusaha Kena Pajak (PKP) dan mekanisme Pajak Keluaran dan Pajak Masukan (…",": , tahukah bahwa dengan pengukuhan Pengusaha Kena Pajak (PKP) dan mekanisme Pajak Keluaran dan Pajak Masukan (",":, did you know that with the inauguration of the Taxable Entrepreneur (PKP) and the Input Tax and Input Tax ("
mhndrapngstu23,"RT @DitjenPajakRI: #KawanPajak, tahukah bahwa dengan pengukuhan Pengusaha Kena Pajak (PKP) dan mekanisme Pajak Keluaran dan Pajak Masukan (…",": , tahukah bahwa dengan pengukuhan Pengusaha Kena Pajak (PKP) dan mekanisme Pajak Keluaran dan Pajak Masukan (",":, did you know that with the inauguration of the Taxable Entrepreneur (PKP) and the Input Tax and Input Tax ("
azl1288240,"RT @akuntwiter968: Demo mahasiswa malam ini menolak kenaikan PPN 12% dibubarkan polisi.

Adek2 mahasiswa terus suarakan penolakan kenaikan…",: Demo mahasiswa malam ini menolak kenaikan PPN % dibubarkan polisi.Adek2 mahasiswa terus suarakan penolakan kenaikan,: Student demonstration tonight rejects the increase in VAT % of the police dissolved. Students continue to vote for the rejection of the increase
jakarta27city,"RT @ArdieSuhardi321: UNJUK RASA BEM SI KERAKYATAN TOLAK PPN 12 PERSEN...

MENDESAK PRESIDEN PRABOWO MENGELUARKAN PERPPU PEMBATALAN KENAIKAN…",: UNJUK RASA BEM SI KERAKYATAN TOLAK PPN PERSEN...MENDESAK PRESIDEN PRABOWO MENGELUARKAN PERPPU PEMBATALAN KENAIKAN,: PERFORMANCE OF SI SI POPORS REFLECTION VAT percent ... urged President Prabowo to issue Perppu Cancellation of Increase
SaptoHape,@officialinews_ Dan PPN 12% melenggang aman..,Dan PPN % melenggang aman..,And PPn % safety safely ..
hilmy_nh,"RT @ramuneinabottle: Kalau sesuatu yang tidak kena PPN 12% dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri…",": Kalau sesuatu yang tidak kena PPN % dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri",": If something that is not subject to VAT % is said to be good news with one of the state agencies, it means the country itself"
sambatmulu2021,"RT @barengwarga: 3 hari lagi menuju kenaikan PPN ke 12%
3 hari lagi menuju kenaikan PPN ke 12%
3 hari lagi menuju kenaikan PPN ke 12%",: hari lagi menuju kenaikan PPN ke %3 hari lagi menuju kenaikan PPN ke %3 hari lagi menuju kenaikan PPN ke %,: days to increase VAT to %3 days to increase VAT to %3 days to increase VAT to %to %
azl1288240,"RT @NenkMonica: GAK TAYANG DI TV 
BEM SI Kerakyatan menggelar aksi unjuk rasa di Patung Kuda, Jakarta Pusat. Massa aksi menolak kenaikan PP…",": GAK TAYANG DI TV BEM SI Kerakyatan menggelar aksi unjuk rasa di Patung Kuda, Jakarta Pusat. Massa aksi menolak kenaikan PP",": Not aired on TV BEM Si Si Pemumyatan held a demonstration at the Horse Statue, Central Jakarta.The mass of action rejected the increase in PP"
alfanpesek,Kita positif thinking aja kenaikan tarif 12% ppn bro. Smg dpt mewujud dlm bentuk pemerataan fasilitas umum antar kota #PPNGotongRoyong https://t.co/aXTvAWj84m,Kita positif thinking aja kenaikan tarif % ppn bro. Smg dpt mewujud dlm bentuk pemerataan fasilitas umum antar kota,We are positive thinking just the increase in rates % VAT Bro.SMG can manifest in the form of equitable public facilities between cities
taro_oreo_,"RT @ronaldy596: Demo Tolak Kenaikan PPN 12%,
Meski dipukul mundur sekalipun,
Adek² Mahasiswa ini Akan tetap bertahan !
Kata Mahasiswa,
Peme…",": Demo Tolak Kenaikan PPN %,Meski dipukul mundur sekalipun,Adek Mahasiswa ini Akan tetap bertahan !Kata Mahasiswa,Peme",": Demo Refuses to increase VAT %, even though it is beaten back, this student's brother will stay!"
nadrayanti,"RT @liaasister: Kemarin dan hari ini mahasiswa mengadakan aksi Tolak kenaikan PPN di Jakarta . 
Tapi kemarin mereka mendapatkan perlakuan y…",: Kemarin dan hari ini mahasiswa mengadakan aksi Tolak kenaikan PPN di Jakarta . Tapi kemarin mereka mendapatkan perlakuan y,: Yesterday and today students held an action to reject VAT in Jakarta.But yesterday they got the treatment
Resurrection_fm,"RT @patragumala: Info A1 katanya pajak tuh naik gara2 Pak @aniesbaswedan 

Lengkapnya hari selasa 31 Desember tayang di youtubenya Podcast…",: Info A1 katanya pajak tuh naik gara2 Pak Lengkapnya hari selasa Desember tayang di youtubenya Podcast,: Info A1 he said the tax was up because of the complete pack on Tuesday December on Youtubenya Podcast
irianto_eluay,"RT @KompasTV: Demo Mahasiswa Tolak PPN Naik Jadi 12 Persen, Tuntut Presiden Prabowo Keluarkan Perppu Pembatalan

https://t.co/95FlSmgZ1U",": Demo Mahasiswa Tolak PPN Naik Jadi Persen, Tuntut Presiden Prabowo Keluarkan Perppu Pembatalan",": Student demonstration rejects VAT to rise to percent, demanding President Prabowo to issue Perppu Cancellation"
curongtamanan,"RT @kompascom: Mahasiswa Terluka Saat Polisi Bubarkan Demo Tolak PPN 12 Persen, Mengaku Kena Pentungan | #Demo #Mahasiswa #Polisi #PPN12Per…",": Mahasiswa Terluka Saat Polisi Bubarkan Demo Tolak PPN Persen, Mengaku Kena Pentungan |",": Students were injured when the police dissolved the demonstration to reject VAT percent, claiming"
TrisiyoWong,"RT @ike_hw71: Alhamdulillah akhirnya mahasiswa bergerak dan beraksi MENOLAK PENETAPAN PPN 12%

Rakyat Bersatu Tak Bisa Dikalahkan... !

#To…",: Alhamdulillah akhirnya mahasiswa bergerak dan beraksi MENOLAK PENETAPAN PPN %Rakyat Bersatu Tak Bisa Dikalahkan... !,": Alhamdulillah, finally the students moved and in action refused the determination of the VAT %of the United people could not be defeated ...!"
leekno_oww,"RT @ramuneinabottle: Kalau sesuatu yang tidak kena PPN 12% dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri…",": Kalau sesuatu yang tidak kena PPN % dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri",": If something that is not subject to VAT % is said to be good news with one of the state agencies, it means the country itself"
imhoyourehot,RT @Susustroberri: pajak naik… msib ga buka… udah ancurin aja negara ini pantek.,: pajak naik msib ga buka udah ancurin aja negara ini pantek.,": Tax rises to MSIB not open, just destroy this country."
DinDan847754553,RT @barengwarga: Mahasiswa Tiarap Menolak PPN 12%: Simbolisasi Kekhawatiran Ekonomi Masyarakat yang akan tiarap jika PPN Naik. #TolakPPN12P…,: Mahasiswa Tiarap Menolak PPN %: Simbolisasi Kekhawatiran Ekonomi Masyarakat yang akan tiarap jika PPN Naik.,: Students Tiap reject VAT %: symbolization of the economic concerns of the people who will lie down if VAT rises.
nurshanti_kamal,"RT @ArdieSuhardi321: UNJUK RASA BEM SI KERAKYATAN TOLAK PPN 12 PERSEN...

MENDESAK PRESIDEN PRABOWO MENGELUARKAN PERPPU PEMBATALAN KENAIKAN…",: UNJUK RASA BEM SI KERAKYATAN TOLAK PPN PERSEN...MENDESAK PRESIDEN PRABOWO MENGELUARKAN PERPPU PEMBATALAN KENAIKAN,: PERFORMANCE OF SI SI POPORS REFLECTION VAT percent ... urged President Prabowo to issue Perppu Cancellation of Increase
jhonnyparlin,"RT @BebySoSweet: Demo mahasiswa di patung kuda berakhir ricuh.
Polisi masih aja bertindak anarkis ke pendemo. Padahal mereka berdemo untuk…",: Demo mahasiswa di patung kuda berakhir ricuh.Polisi masih aja bertindak anarkis ke pendemo. Padahal mereka berdemo untuk,: Student demonstration in the horse statue ended in chaos. The police still just act anarchically to the demonstrators.Even though they are demonstrating to
txtdarirnd,"RT @ramuneinabottle: Kalau sesuatu yang tidak kena PPN 12% dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri…",": Kalau sesuatu yang tidak kena PPN % dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri",": If something that is not subject to VAT % is said to be good news with one of the state agencies, it means the country itself"
alfanpesek,Kita positif thinking aja kenaikan tarif 12% ppn bro. Dan dipastikan QRIS tidak kena PPN #PPNGotongRoyong https://t.co/UGbKqtep7d,Kita positif thinking aja kenaikan tarif % ppn bro. Dan dipastikan QRIS tidak kena PPN,We are positive thinking just the increase in rates % VAT Bro.And it is certain that Qris is not subject to VAT
MokyklaPradines,"RT @akuntwiter968: Demo mahasiswa malam ini menolak kenaikan PPN 12% dibubarkan polisi.

Adek2 mahasiswa terus suarakan penolakan kenaikan…",: Demo mahasiswa malam ini menolak kenaikan PPN % dibubarkan polisi.Adek2 mahasiswa terus suarakan penolakan kenaikan,: Student demonstration tonight rejects the increase in VAT % of the police dissolved. Students continue to vote for the rejection of the increase
dihLucuKaliLo,"RT @NenkMonica: BREAKING NEWS 
Mahasiswa masih bertahan di Jalan Medan Merdeka Barat utk Aksi Penolakan PPN 12%.",: BREAKING NEWS Mahasiswa masih bertahan di Jalan Medan Merdeka Barat utk Aksi Penolakan PPN %.,: BREAKING NEWS Students still survive on Jalan Medan Merdeka Barat for the action of rejection of PPN %.
nanaszcx,"RT @ramuneinabottle: Kalau sesuatu yang tidak kena PPN 12% dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri…",": Kalau sesuatu yang tidak kena PPN % dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri",": If something that is not subject to VAT % is said to be good news with one of the state agencies, it means the country itself"
gurutua7,"RT @ThatSun510: Tanpa PPN naik, DAYA BELI MASYARAKAT SUDAH AMBRUK. 
Pemerintah masih gaya2an sumbang sana sini dgn alasan persiapan pandemi…",": Tanpa PPN naik, DAYA BELI MASYARAKAT SUDAH AMBRUK. Pemerintah masih gaya2an sumbang sana sini dgn alasan persiapan pandemi",": Without VAT rises, people's purchasing power has collapsed.The government is still the style of contribution here and there for reasons of preparation for Pandemi"
Hendria43967683,"RT @secr3thm4nz56: DEMO MAHASISWA TOLAK PPN 12 PERSEN....

BEM SI KERAKYATAN MENGGELAR DEMO DI DEPAN PATUNG KUDA TOLAK KENSIKAN PPN 12 PERS…",: DEMO MAHASISWA TOLAK PPN PERSEN....BEM SI KERAKYATAN MENGGELAR DEMO DI DEPAN PATUNG KUDA TOLAK KENSIKAN PPN PERS,: Student demonstration Rejects VAT percent .... BEM SI POPULATION Holds a demonstration in front of the Statue of Horse Rejecting PPN Press
FooKinHeeL,"RT @virdianaurellio: “Demokrasi aman kok buktinya kalian boleh aksi”

Iya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa…",: Demokrasi aman kok buktinya kalian boleh aksiIya tapi diintimidasi pake mobil direktorat tahanan dan diparkir depa,": Democracy is safe, how proof you can do it, but it is intimidated using a cars of the Directorate of Detention and parked"
justmamay24,"RT @akuntwiter968: Demo mahasiswa malam ini menolak kenaikan PPN 12% dibubarkan polisi.

Adek2 mahasiswa terus suarakan penolakan kenaikan…",: Demo mahasiswa malam ini menolak kenaikan PPN % dibubarkan polisi.Adek2 mahasiswa terus suarakan penolakan kenaikan,: Student demonstration tonight rejects the increase in VAT % of the police dissolved. Students continue to vote for the rejection of the increase
woda_johan,"RT @_riverheaven: PAJAK DINAIKKAN
KORUPTOR DIMAAFKAN

Mana pak Presiden @prabowo ? Harusnya bapak mendengar aspirasi rakyat. Kenaikan PPN 1…",: PAJAK DINAIKKANKORUPTOR DIMAAFKANMana pak Presiden ? Harusnya bapak mendengar aspirasi rakyat. Kenaikan PPN,": The tax raised by corruptors is forgiven, where is the president?You should hear the aspirations of the people.Increase in VAT"
rebeccafredlina,"RT @akuntwiter968: Demo mahasiswa malam ini menolak kenaikan PPN 12% dibubarkan polisi.

Adek2 mahasiswa terus suarakan penolakan kenaikan…",: Demo mahasiswa malam ini menolak kenaikan PPN % dibubarkan polisi.Adek2 mahasiswa terus suarakan penolakan kenaikan,: Student demonstration tonight rejects the increase in VAT % of the police dissolved. Students continue to vote for the rejection of the increase
zizaaazi,"RT @barengwarga: 3 hari lagi menuju kenaikan PPN ke 12%
3 hari lagi menuju kenaikan PPN ke 12%
3 hari lagi menuju kenaikan PPN ke 12%",: hari lagi menuju kenaikan PPN ke %3 hari lagi menuju kenaikan PPN ke %3 hari lagi menuju kenaikan PPN ke %,: days to increase VAT to %3 days to increase VAT to %3 days to increase VAT to %to %
mhndrapngstu23,"RT @ronaldy596: Demo Tolak Kenaikan PPN 12%,
Meski dipukul mundur sekalipun,
Adek² Mahasiswa ini Akan tetap bertahan !
Kata Mahasiswa,
Peme…",": Demo Tolak Kenaikan PPN %,Meski dipukul mundur sekalipun,Adek Mahasiswa ini Akan tetap bertahan !Kata Mahasiswa,Peme",": Demo Refuses to increase VAT %, even though it is beaten back, this student's brother will stay!"
SangPejuank,"RT @KangManto123: Omon omon lagi
Cak Duren : Tak ada bansos untuk masyarakat terdampak kenaikan PPN 12%.

PPN 12% itu idenya si Mul, diekse…",": Omon omon lagiCak Duren : Tak ada bansos untuk masyarakat terdampak kenaikan PPN %.PPN % itu idenya si Mul, diekse",": Omon omon again durian: there is no social assistance for people affected by the increase in PPN % .ppn % is the idea of ​​the Mul, excessive"
landayo2445,"RT @ronaldy596: Anaknya dikasih makan Siang gratis,
Tapi bisa² Malamnya tidak bisa Makan,
Akibat Duit Orang tuanya terkuras kena Pajak kena…",": Anaknya dikasih makan Siang gratis,Tapi bisa Malamnya tidak bisa Makan,Akibat Duit Orang tuanya terkuras kena Pajak kena",": His son was given a free lunch, but it could not eat at night, due to the money of his parents drained taxable"
tataenggooo,"Hari ini main ke toko mama, sales sales yg dateng semuanya pada bilang ""bu januari barang naik yaa, kena pajak 12%"".","Hari ini main ke toko mama, sales sales yg dateng semuanya pada bilang ""bu januari barang naik yaa, kena pajak %"".","Today is playing to Mama's shop, Sales Sales who come all say ""Mrs. January the goods rose, taxable %""."
Kisworo17105631,"RT @ronaldy596: Anaknya dikasih makan Siang gratis,
Tapi bisa² Malamnya tidak bisa Makan,
Akibat Duit Orang tuanya terkuras kena Pajak kena…",": Anaknya dikasih makan Siang gratis,Tapi bisa Malamnya tidak bisa Makan,Akibat Duit Orang tuanya terkuras kena Pajak kena",": His son was given a free lunch, but it could not eat at night, due to the money of his parents drained taxable"
retamanaka,"RT @ronaldy596: Demo Tolak Kenaikan PPN 12%,
Meski dipukul mundur sekalipun,
Adek² Mahasiswa ini Akan tetap bertahan !
Kata Mahasiswa,
Peme…",": Demo Tolak Kenaikan PPN %,Meski dipukul mundur sekalipun,Adek Mahasiswa ini Akan tetap bertahan !Kata Mahasiswa,Peme",": Demo Refuses to increase VAT %, even though it is beaten back, this student's brother will stay!"
dilangitnubiru,"RT @akuntwiter968: Demo mahasiswa malam ini menolak kenaikan PPN 12% dibubarkan polisi.

Adek2 mahasiswa terus suarakan penolakan kenaikan…",: Demo mahasiswa malam ini menolak kenaikan PPN % dibubarkan polisi.Adek2 mahasiswa terus suarakan penolakan kenaikan,: Student demonstration tonight rejects the increase in VAT % of the police dissolved. Students continue to vote for the rejection of the increase
louvrelouz,yaiyala org miskin kl kena ppn 12% gabakal jatoh miskin org udh miskin tolol,yaiyala org miskin kl kena ppn % gabakal jatoh miskin org udh miskin tolol,yaiyala poor people if they get VAT % will not fall into poverty people already poor stupid
landayo2445,"RT @V3g3L: Mahasiswa Terluka Saat Polisi Bubarkan Demo Tolak PPN 12 Persen, Mengaku Kena Pentungan. apakah penanganan demo harus selalu ana…",": Mahasiswa Terluka Saat Polisi Bubarkan Demo Tolak PPN Persen, Mengaku Kena Pentungan. apakah penanganan demo harus selalu ana",": Students were injured when the police dissolved the demonstration to reject the VAT percent, claiming to be hit by a batonian.whether the demonstration handling must always be ana"
rezatrip_,RT @JurnalAkuntansi: Sebenarnya dah cape jelasin efek PPN 12%. Tapi ada yg ngotot kenaikan PPN hanya 1% karena ada faktur pajak masukan (FP…,: Sebenarnya dah cape jelasin efek PPN %. Tapi ada yg ngotot kenaikan PPN hanya % karena ada faktur pajak masukan (FP,: Actually already tired of explaining the effect of PPN %.But there are those who insist on the increase in VAT only % because there is an input tax invoice (FP
universchan,RT @AnKiiim_: Seorang mahasiswa mengalami luka dibagian kepala saat aksi demo tolak PPN 12 % hari ini .. https://t.co/UYI5heHBgO,: Seorang mahasiswa mengalami luka dibagian kepala saat aksi demo tolak PPN % hari ini ..,: A student suffered a head injury when the demonstration rejects VAT % today ..
rafiqi_28,"RT @patragumala: Info A1 katanya pajak tuh naik gara2 Pak @aniesbaswedan 

Lengkapnya hari selasa 31 Desember tayang di youtubenya Podcast…",: Info A1 katanya pajak tuh naik gara2 Pak Lengkapnya hari selasa Desember tayang di youtubenya Podcast,: Info A1 he said the tax was up because of the complete pack on Tuesday December on Youtubenya Podcast
mwanraa,"RT @kompascom: Mahasiswa Terluka Saat Polisi Bubarkan Demo Tolak PPN 12 Persen, Mengaku Kena Pentungan | #Demo #Mahasiswa #Polisi #PPN12Per…",": Mahasiswa Terluka Saat Polisi Bubarkan Demo Tolak PPN Persen, Mengaku Kena Pentungan |",": Students were injured when the police dissolved the demonstration to reject VAT percent, claiming"
dukunmangbes,"RT @ramuneinabottle: Kalau sesuatu yang tidak kena PPN 12% dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri…",": Kalau sesuatu yang tidak kena PPN % dikatakan kabar gembira sama salah satu instansi negara, berarti negara sendiri",": If something that is not subject to VAT % is said to be good news with one of the state agencies, it means the country itself"
thisisima26,RT @howtodresvvell: gweh animal communicator trus kata bobby batalkan ppn 12%,: gweh animal communicator trus kata bobby batalkan ppn %,: GWEH ANTIL COMMUNICATORS Then the word Bobby canceled VPN %
trwrdi,"RT @convomf: gen ask, no salty pls, kan ppń 12% dah dijelasin di uu thn 2021, terus knp org"" marah ama presidèn yg skrg? apa krn 'keberlanj…",": gen ask, no salty pls, kan pp % dah dijelasin di uu thn , terus knp org"" marah ama presidn yg skrg? apa krn 'keberlanj",": gene, nosty pls, it's % % is explained in the u Yun, then kpp org that"
